week,week_start,sku,demand
1,2024-07-01,KIT-001,62
2,2024-07-08,KIT-001,58
3,2024-07-15,KIT-001,53
4,2024-07-22,KIT-001,56
5,2024-07-29,KIT-001,52
6,2024-08-05,KIT-001,60
7,2024-08-12,KIT-001,71
8,2024-08-19,KIT-001,56
9,2024-08-26,KIT-001,55
10,2024-09-02,KIT-001,64
11,2024-09-09,KIT-001,63
12,2024-09-16,KIT-001,61
13,2024-09-23,KIT-001,53
14,2024-09-30,KIT-001,60
15,2024-10-07,KIT-001,65
16,2024-10-14,KIT-001,49
17,2024-10-21,KIT-001,56
18,2024-10-28,KIT-001,45
19,2024-11-04,KIT-001,50
20,2024-11-11,KIT-001,45
21,2024-11-18,KIT-001,58
22,2024-11-25,KIT-001,50
23,2024-12-02,KIT-001,62
24,2024-12-09,KIT-001,61
25,2024-12-16,KIT-001,59
26,2024-12-23,KIT-001,40
27,2024-12-30,KIT-001,56
28,2025-01-06,KIT-001,60
29,2025-01-13,KIT-001,61
30,2025-01-20,KIT-001,48
31,2025-01-27,KIT-001,56
32,2025-02-03,KIT-001,52
33,2025-02-10,KIT-001,54
34,2025-02-17,KIT-001,68
35,2025-02-24,KIT-001,54
36,2025-03-03,KIT-001,60
37,2025-03-10,KIT-001,67
38,2025-03-17,KIT-001,55
39,2025-03-24,KIT-001,59
40,2025-03-31,KIT-001,61
41,2025-04-07,KIT-001,61
42,2025-04-14,KIT-001,50
43,2025-04-21,KIT-001,61
44,2025-04-28,KIT-001,71
45,2025-05-05,KIT-001,48
46,2025-05-12,KIT-001,67
47,2025-05-19,KIT-001,61
48,2025-05-26,KIT-001,55
49,2025-06-02,KIT-001,76
50,2025-06-09,KIT-001,66
51,2025-06-16,KIT-001,51
52,2025-06-23,KIT-001,61
53,2025-06-30,KIT-001,65
54,2025-07-07,KIT-001,59
55,2025-07-14,KIT-001,65
56,2025-07-21,KIT-001,59
57,2025-07-28,KIT-001,65
58,2025-08-04,KIT-001,71
59,2025-08-11,KIT-001,55
60,2025-08-18,KIT-001,62
61,2025-08-25,KIT-001,56
62,2025-09-01,KIT-001,61
63,2025-09-08,KIT-001,51
64,2025-09-15,KIT-001,55
65,2025-09-22,KIT-001,58
66,2025-09-29,KIT-001,67
67,2025-10-06,KIT-001,69
68,2025-10-13,KIT-001,50
69,2025-10-20,KIT-001,54
70,2025-10-27,KIT-001,65
71,2025-11-03,KIT-001,44
72,2025-11-10,KIT-001,56
73,2025-11-17,KIT-001,59
74,2025-11-24,KIT-001,70
75,2025-12-01,KIT-001,65
76,2025-12-08,KIT-001,57
77,2025-12-15,KIT-001,57
78,2025-12-22,KIT-001,58
79,2025-12-29,KIT-001,72
80,2026-01-05,KIT-001,57
81,2026-01-12,KIT-001,58
82,2026-01-19,KIT-001,63
83,2026-01-26,KIT-001,59
84,2026-02-02,KIT-001,58
85,2026-02-09,KIT-001,51
86,2026-02-16,KIT-001,60
87,2026-02-23,KIT-001,57
88,2026-03-02,KIT-001,69
89,2026-03-09,KIT-001,65
90,2026-03-16,KIT-001,60
91,2026-03-23,KIT-001,65
92,2026-03-30,KIT-001,57
93,2026-04-06,KIT-001,68
94,2026-04-13,KIT-001,60
95,2026-04-20,KIT-001,65
96,2026-04-27,KIT-001,50
97,2026-05-04,KIT-001,63
98,2026-05-11,KIT-001,47
99,2026-05-18,KIT-001,44
100,2026-05-25,KIT-001,58
101,2026-06-01,KIT-001,53
102,2026-06-08,KIT-001,61
103,2026-06-15,KIT-001,78
104,2026-06-22,KIT-001,53
1,2024-07-01,KIT-002,48
2,2024-07-08,KIT-002,53
3,2024-07-15,KIT-002,42
4,2024-07-22,KIT-002,42
5,2024-07-29,KIT-002,56
6,2024-08-05,KIT-002,53
7,2024-08-12,KIT-002,29
8,2024-08-19,KIT-002,44
9,2024-08-26,KIT-002,46
10,2024-09-02,KIT-002,29
11,2024-09-09,KIT-002,49
12,2024-09-16,KIT-002,32
13,2024-09-23,KIT-002,60
14,2024-09-30,KIT-002,48
15,2024-10-07,KIT-002,46
16,2024-10-14,KIT-002,36
17,2024-10-21,KIT-002,43
18,2024-10-28,KIT-002,15
19,2024-11-04,KIT-002,28
20,2024-11-11,KIT-002,51
21,2024-11-18,KIT-002,13
22,2024-11-25,KIT-002,58
23,2024-12-02,KIT-002,18
24,2024-12-09,KIT-002,57
25,2024-12-16,KIT-002,32
26,2024-12-23,KIT-002,57
27,2024-12-30,KIT-002,47
28,2025-01-06,KIT-002,22
29,2025-01-13,KIT-002,64
