sku,on_hand,backorders
KIT-001,236,0
KIT-002,6,0
KIT-003,0,36
KIT-004,270,0
KIT-005,334,0
KIT-006,378,0
KIT-007,21,0
KIT-008,766,0
KIT-009,80,0
KIT-010,304,0
BTH-001,486,0
BTH-002,75,0
BTH-003,250,0
BTH-004,443,0
BTH-005,19,0
BTH-006,164,0
BTH-007,416,0
BTH-008,126,0
BTH-009,100,0
BTH-010,81,0
BED-001,116,0
BED-002,350,0
BED-003,138,0
BED-004,0,35
BED-005,253,0
BED-006,74,0
BED-007,84,0
BED-008,35,0
BED-009,119,0
ELE-001,375,0
ELE-002,106,0
ELE-003,58,0
ELE-004,1060,0
ELE-005,569,0
ELE-006,687,0
ELE-007,120,0
ELE-008,29,0
CLN-001,666,0
CLN-002,180,0
CLN-003,0,99
CLN-004,556,0
CLN-005,307,0
CLN-006,930,0
CLN-007,72,0
CLN-008,351,0
CLN-009,416,0
CLN-010,50,0
CLN-011,102,0
